@RELATION combined

@ATTRIBUTE name {ArcPlatform,Berek,E-Learning,InterCafe,Nieruchomosci,Tomcat,Zuzel,ant,camel,forrest,ivy,jEdit}
@ATTRIBUTE wmc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE ca REAL
@ATTRIBUTE ce REAL
@ATTRIBUTE npm REAL
@ATTRIBUTE lcom3 REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE dam REAL
@ATTRIBUTE moa REAL
@ATTRIBUTE cam REAL
@ATTRIBUTE max_cc REAL
@ATTRIBUTE avg_cc REAL
@ATTRIBUTE bug {0, 1}

@DATA
Tomcat,131,79,311,6643,51,0,120,0.95625,2701,1,17,0.073461538,22,2.2366,1
Tomcat,130,64,270,6759,56,0,123,0.915503876,2700,1,6,0.069232825,8,1.2692,0
ArcPlatform,24,9,33,238,7,2,24,0.966555184,166,0.846153846,2,0.182291667,6,1.2083,0
ant,24,7,50,270,2,5,20,0.434782609,250,1,1,0.162037037,5,1.375,0
ant,24,7,43,222,0,7,20,0.943734015,309,0.529411765,0,0.375,8,1.375,0
ant,24,45,68,244,41,6,22,0.804347826,397,1,1,0.211180124,6,1.9583,1
ant,24,14,85,180,0,14,13,0.782608696,741,1,0,0.326086957,7,1.625,1
ant,24,13,103,176,1,12,18,0.808184143,1046,1,1,0.175,6,1.4167,1
ant,24,24,24,276,4,20,24,2,24,0,0,0.089285714,1,1,0
ant,24,21,96,246,9,13,20,0.722826087,610,0.875,1,0.154166667,14,2.5417,0
ant,24,14,65,222,2,12,13,0.937888199,348,0.928571429,3,0.238095238,4,1.5417,0
Tomcat,24,0,24,276,0,0,24,2,24,0,0,0.358333333,1,1,0
Tomcat,24,17,67,98,9,0,22,0.826086957,626,0.736842105,5,0.208333333,3,1,1
Tomcat,24,9,119,92,1,0,13,0.830039526,1158,1,3,0.178743961,11,1.4167,0
Tomcat,24,18,68,156,13,0,19,0.889632107,590,1,4,0.236714976,13,1.9167,1
Tomcat,24,36,157,20,2,0,19,0.66798419,1717,1,3,0.147157191,26,4.3333,0
Tomcat,24,2,46,0,1,0,20,0.724637681,218,1,1,0.27173913,3,1.5,0
camel,24,25,80,220,8,20,16,0.90942029,444,1,5,0.14229249,5,1.5833,0
camel,24,17,48,250,12,8,19,0.881987578,238,1,2,0.223602484,3,1.1667,0
camel,24,10,84,126,3,8,14,0.879795396,597,0.705882353,0,0.193236715,8,1.375,1
camel,24,56,62,256,41,16,16,0.793478261,308,1,1,0.316770186,3,1,1
jEdit,24,1,41,198,1,0,18,0.824275362,749,0.166666667,9,0.149758454,13,2.5833,0
jEdit,24,28,106,80,15,21,14,0.782608696,530,1,3,0.147727273,9,1.625,0
Berek,24,12,51,130,9,4,23,0.77173913,584,0.875,0,0.242236025,28,2.4167,1
Berek,24,16,70,102,10,7,23,0.739130435,796,1,0,0.191666667,25,2.5,1
InterCafe,24,12,13,40,12,0,24,0.878787879,172,1,0,0.75,1,0.8333,0
ArcPlatform,25,13,74,0,0,13,23,0.444444444,901,1,2,0.204545455,1,0.92,1
ArcPlatform,25,26,99,222,0,26,22,0.936111111,653,1,6,0.12745098,7,1.88,0
ivy,25,18,73,200,1,0,18,0.854166667,666,1,0,0.38,13,1.92,1
ivy,25,10,58,234,6,4,23,0.591666667,257,1,1,0.32,2,1.16,0
ivy,25,10,49,224,0,0,25,0.90530303,304,1,0,0.37,1,0.96,0
ivy,25,8,90,112,4,7,21,0.907738095,1160,0.357142857,1,0.239583333,29,2.96,0
ivy,25,6,26,276,5,1,25,0.958333333,136,1,1,0.246666667,1,0.96,0
ivy,25,62,25,300,55,8,25,2,25,0,0,0.296,1,1,0
