name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bugant,1.7,org.apache.tools.ant.taskdefs.optional.dotnet.DotnetCompile,64,5,3,15,111,1836,3,12,38,0.945578231,888,1,1,0.58,0.12109375,2,3,12.546875,6,1.4844,0
ant,1.7,org.apache.tools.ant.types.resources.ArchiveResource,21,4,2,9,55,162,4,5,18,0.71,361,1,1,0.768115942,0.19375,2,9,15.95238095,6,1.619,0
ant,1.7,org.apache.tools.ant.AntTypeDefinition,21,1,2,14,47,124,10,4,18,0.7,575,0.857142857,0,0,0.325396825,0,0,26.04761905,10,2.619,0
ant,1.7,org.apache.tools.ant.taskdefs.FixCRLF,21,4,0,15,72,54,1,14,16,0.835,457,0.9,2,0.804123711,0.194444444,2,2,20.28571429,3,1,2
ant,1.7,org.apache.tools.ant.types.TarFileSet,21,6,1,10,42,126,2,8,15,0.7875,274,1,0,0.871428571,0.178571429,5,19,11.66666667,4,1.381,0
ant,1.7,org.apache.tools.ant.taskdefs.MacroDef,21,4,0,15,76,152,5,14,16,0.833333333,573,0.888888889,2,0.672131148,0.178571429,1,1,25.85714286,23,3.1905,1
ant,1.7,org.apache.tools.tar.TarBuffer,21,1,0,2,36,38,2,0,17,0.631818182,620,0.818181818,0,0,0.293650794,0,0,28,3,0.8571,1
ant,1.7,org.apache.tools.ant.taskdefs.PathConvert,21,3,0,12,61,144,1,12,15,0.836363636,507,1,3,0.660714286,0.1875,2,2,22.61904762,4,1.4286,0
ant,1.7,org.apache.tools.ant.taskdefs.optional.clearcase.CCMklabel,21,4,0,7,45,168,0,7,16,0.923076923,302,0.538461538,0,0.705882353,0.392857143,2,3,12.76190476,7,1.4762,0
ArcPlatform,1,pl.arcilook.domain.integration.Package,21,1,0,4,25,182,4,0,21,0.95,153,1,0,0,0.210884354,1,1,5.80952381,7,1.2857,0
ArcPlatform,1,pl.arcilook.search.dto.ProjectSearchWrapper,21,1,0,3,24,184,3,0,21,0.95,113,1,0,0,0.357142857,0,0,3.904761905,1,0.9524,0
ArcPlatform,1,pl.arcilook.controller.specialist.SpecialistListController,21,1,0,16,53,154,0,16,16,0.892307692,389,1,4,0,0.176870748,0,0,16.9047619,1,0.9524,1
camel,1.6,org.apache.camel.bam.processor.JpaBamProcessorSupport,21,2,1,15,52,142,1,14,12,0.828571429,292,1,1,0.333333333,0.2,1,2,12.57142857,3,1,0
camel,1.6,org.apache.camel.component.jms.JmsExchange,21,2,0,14,25,198,8,7,16,0.8,119,1,1,0.678571429,0.217687075,1,3,4.619047619,1,0.8571,0
camel,1.6,org.apache.camel.spring.SpringCamelContext,21,3,0,37,50,168,8,29,13,0.725,266,1,1,0.825242718,0.192857143,2,3,11.47619048,5,1.0952,0
camel,1.6,org.apache.camel.processor.BatchProcessor,21,2,2,9,37,116,3,7,12,0.888888889,180,0.777777778,3,0.411764706,0.178571429,1,1,7.142857143,4,1.1905,8
camel,1.6,org.apache.camel.component.jpa.JpaConsumer,21,4,0,19,52,160,5,19,13,0.8625,287,1,4,0.648148148,0.166666667,1,2,12.28571429,5,1.6667,0
E-Learning,1,pl.elearning.logika.kurs.CLogikaKurs,21,1,0,14,48,110,8,6,21,0.75,181,1,3,0,0.206349206,0,0,7.476190476,3,1.1429,1
ivy,2,org.apache.ivy.plugins.parser.xml.UpdateOptions,21,1,0,7,22,154,5,2,21,0.905,141,1,2,0,0.18452381,0,0,5.238095238,1,0.9524,0
ivy,2,org.apache.ivy.plugins.repository.ssh.AbstractSshBasedRepository,21,2,2,9,58,156,3,0,15,0.855555556,373,1,0,0.512820513,0.32,0,0,16.33333333,6,1.381,0
ivy,2,org.apache.ivy.plugins.repository.AbstractRepository,21,1,5,12,46,132,7,5,10,0.5875,281,0.75,1,0,0.173160173,0,0,12.19047619,4,1.381,0
ivy,2,org.apache.ivy.plugins.repository.ssh.SshRepository,21,3,0,12,77,160,2,0,15,0.9125,797,1,0,0.661016949,0.227513228,2,3,36.57142857,3,1.0952,0
ivy,2,org.apache.ivy.core.module.descriptor.DefaultArtifact,21,2,0,21,38,170,17,4,21,0.6625,224,1,1,0.333333333,0.253968254,1,9,9.476190476,1,0.7619,0
ivy,2,org.apache.ivy.util.url.HttpClientHandler,21,2,0,30,108,190,1,0,7,0.794444444,766,0.888888889,1,0.366666667,0.292857143,1,3,35.04761905,10,1.9524,0
ivy,2,org.apache.ivy.ant.IvyConfigure,21,3,0,4,54,0,0,0,19,0.858333333,233,0.5,1,0.660714286,0.375,1,1,9.80952381,2,1,0
jEdit,4.3,org.gjt.sp.jedit.search.SearchBar,21,5,0,20,99,130,6,19,5,0.816666667,596,1,3,0.971181556,0.323809524,2,5,26.66666667,10,1.7143,0
jEdit,4.3,org.gjt.sp.jedit.BeanShell,21,1,0,30,67,0,15,18,18,0.5,411,1,1,0,0.2875,0,0,18.47619048,6,1.3333,0
jEdit,4.3,org.gjt.sp.jedit.buffer.UndoManager,21,1,0,10,36,96,5,8,14,0.754166667,559,1,8,0,0.204081633,0,0,25.04761905,8,2.5714,0
jEdit,4.3,org.gjt.sp.jedit.io.FileVFS,21,2,0,19,87,208,10,11,20,1,665,0.5,0,0.672413793,0.344444444,1,3,30.57142857,8,2.8095,0
jEdit,4.3,org.gjt.sp.jedit.Mode,21,1,1,29,50,156,22,8,18,0.85,601,1,1,0,0.244897959,0,0,27.23809524,11,2.4286,0
jEdit,4.3,org.gjt.sp.jedit.syntax.XModeHandler,21,2,2,13,86,134,5,10,9,0.875,891,1,3,0.459459459,0.226190476,1,2,40.95238095,38,3.4286,0
Tomcat,6.0.389418,org.apache.tomcat.jni.Registry,21,1,0,1,22,210,0,0,21,1.05,47,0,0,0,0.306122449,0,0,0.142857143,1,0.9524,0
Tomcat,6.0.389418,org.apache.tomcat.util.buf.StringCache,21,1,0,7,71,122,3,0,14,0.853846154,1068,1,2,0,0.166666667,0,0,49.23809524,14,3.7143,0
Tomcat,6.0.389418,org.apache.tomcat.util.net.URL,21,1,0,1,55,68,1,0,19,0.622222222,1188,1,0,0,0.253968254,0,0,55.14285714,6,1.8095,0
Tomcat,6.0.389418,org.apache.catalina.ant.BaseRedirectorHelperTask,21,3,3,7,44,2,3,0,12,0.545,317,0.8,0,0.649122807,0.30952381,1,3,13.61904762,4,1.5238,0
Tomcat,6.0.389418,org.apache.catalina.startup.Bootstrap,21,1,0,5,75,118,0,0,15,0.838888889,720,1,1,0,0.26,0,0,32.85714286,7,1.4286,0
Tomcat,6.0.389418,org.apache.catalina.ssi.SSIServletExternalResolver,21,1,0,9,98,148,3,0,9,0.735714286,1367,1,3,0,0.275132275,0,0,63.76190476,54,4.2381,1
Tomcat,6.0.389418,org.apache.jk.common.ModJkMX,21,2,0,5,66,114,1,0,19,0.827272727,607,0.090909091,0,0.558139535,0.3375,0,0,27.38095238,16,2.2381,0
Tomcat,6.0.389418,org.apache.jasper.compiler.JspRuntimeContext,21,1,0,12,95,124,5,0,14,0.858333333,719,1,2,0,0.225,0,0,32.66666667,12,1.9048,2
ant,1.7,org.apache.tools.ant.taskdefs.ExecTask,43,3,1,25,120,451,9,16,30,0.893374741,920,1,5,0.480519481,0.146825397,0,0,19.86046512,15,1.5116,1
ArcPlatform,1,pl.arcilook.controller.AdministrationController,43,1,0,22,110,563,0,22,40,0.931677019,1202,1,9,0,0.131578947,0,0,26.41860465,2,1.093,0
Berek,1,przedszkole.Klient,43,1,0,13,91,447,8,5,40,0.795918367,1347,0.928571429,0,0,0.214285714,1,1,30,62,3.2326,3
camel,1.6,org.apache.camel.util.jndi.JndiContext,43,1,0,9,101,815,4,7,35,0.833333333,792,0.8,1,0,0.261904762,0,0,17.18604651,1,0.8372,0
jEdit,4.3,org.gjt.sp.jedit.io.VFS,43,1,4,52,116,805,40,23,35,0.977513228,962,0.277777778,0,0,0.215873016,0,0,20.95348837,7,1.4884,0
Tomcat,6.0.389418,org.apache.catalina.session.PersistentManagerBase,43,2,1,22,123,481,7,0,33,0.871794872,1262,1,2,0.62037037,0.164021164,1,6,28.04651163,9,2.1628,4
Tomcat,6.0.389418,org.apache.catalina.startup.HostConfig,43,1,0,17,159,567,3,0,24,0.774603175,2409,1,3,0,0.223214286,0,0,54.6744186,22,3.8372,0
jEdit,4.3,org.gjt.sp.jedit.buffer.JEditBuffer,119,1,1,90,279,5913,72,28,97,0.886101695,4045,0.84,8,0,0.103641457,0,0,32.78151261,17,2.9076,1
Tomcat,6.0.389418,org.apache.catalina.core.DummyRequest,119,1,0,8,121,6959,1,0,118,0.978813559,398,1,2,0,0.086241276,0,0,2.277310924,1,0.9748,0
ant,1.7,org.apache.tools.ant.types.selectors.BaseExtendSelector,4,4,8,12,5,0,8,4,3,0.333333333,18,1,1,0.921052632,0.4375,0,0,3.25,1,0.75,0
ant,1.7,org.apache.tools.ant.types.resources.BCFileSet,4,5,0,5,19,6,0,5,4,2,57,0,0,0.978494624,0.625,2,4,13.25,2,1,0
ant,1.7,org.apache.tools.ant.taskdefs.Nice,4,3,0,3,16,2,0,3,4,0.666666667,76,1,0,0.925,0.5,1,1,17.5,3,1.25,0
ant,1.7,org.apache.tools.ant.taskdefs.optional.junit.JUnitVersionHelper,4,1,0,7,20,4,4,3,2,0.888888889,187,0.333333333,0,0,0.5,0,0,45,9,3.5,1
ant,1.7,org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter,4,1,0,6,33,0,1,5,2,0.333333333,157,1,1,0,0.533333333,0,0,37.5,2,0.75,0
ant,1.7,org.apache.tools.ant.types.selectors.MajoritySelector,4,5,0,7,15,0,6,2,4,0.333333333,77,1,0,0.953846154,0.4375,1,1,18,5,2,0
ant,1.7,org.apache.tools.ant.taskdefs.condition.IsFailure,4,1,0,2,6,0,0,2,4,0.333333333,19,1,0,0,0.625,0,0,3.5,1,0.75,0
ant,1.7,org.apache.tools.ant.taskdefs.optional.depend.ClassFile,4,1,0,8,20,0,4,4,4,0.777777778,106,1,1,0,0.625,0,0,24.75,5,1.75,0
ant,1.7,org.apache.tools.ant.BuildLogger,4,1,0,6,4,6,5,1,4,2,4,0,0,0,0.5,0,0,0,1,1,0
ant,1.7,org.apache.tools.ant.types.resources.comparators.Reverse,4,4,0,5,8,4,2,3,3,0.833333333,42,1,1,0.944444444,0.583333333,1,1,9,2,1,0
ant,1.7,org.apache.tools.ant.types.resources.First,4,4,0,3,12,0,0,3,3,0.666666667,55,1,0,0.933333333,0.625,1,1,12.25,4,1.5,0
ant,1.7,org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,4,1,0,2,13,6,1,1,4,2,45,0,0,0,0.625,0,0,10.25,2,1,0
ant,1.7,org.apache.tools.ant.taskdefs.Mkdir,4,3,0,3,18,4,0,3,3,1,111,1,0,0.925,0.75,2,2,26.25,2,1,0
ant,1.7,org.apache.tools.ant.filters.StripJavaComments,4,4,0,3,7,0,1,2,4,0,161,1,0,0.928571429,0.75,2,4,38.5,1,0.5,0
